,Lasso,Logistic Regression,Random Forest,XGBoost,Neural Network
AUC,0.9501763247504967,0.9725772484007672,0.9795406943024818,0.9809409202623086,0.976789410896604
F1_Score,0.0,0.08851317752362009,0.7920792079207921,0.4712328767123288,0.7544910179640719
Average_Precision,0.3262443066434955,0.7011969892178885,0.7976713070260578,0.6964432210870852,0.8030459889827654
Precision_Fraud,0.0,0.0465237846314689,0.7692307692307693,0.32209737827715357,0.9130434782608695
Recall_Fraud,0.0,0.9081632653061225,0.8163265306122449,0.8775510204081632,0.6428571428571429
Precision_Normal,0.9982795547909132,0.999836509291722,0.999683421857962,0.9997883411235559,0.9993848100820839
Recall_Normal,1.0,0.967923466516601,0.9995779403489027,0.9968169667979742,0.9998944850872257
